1225	2	5	6	21100	~	~	~	115	~	~	~	~	~	5	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1013	2	4	3	9135	~	~	~	350	~	~	~	~	~	3	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1215	2	5	12	18096	~	~	~	113	~	~	~	~	~	5	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1215	2	5	13	18096	~	~	~	113	~	~	~	~	~	5	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1605	2	4	3	20069	~	~	~	223	~	~	~	~	~	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1609	2	1	2	18248	~	~	~	~	~	~	~	~	~	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1245	2	1	1	8835	~	~	~	181	181	181	181	~	~	2	3	1	3	8	2	4	3	1	5	3	1	0	0	0	0	0	0	
1281	2	2	4	15137	~	~	~	131	~	~	~	~	~	1	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1052	2	2	5	5819	~	~	~	AUDI	299	299	299	~	~	1	3	1	2	6	2	3	4	2	5	4	2	0	0	0	0	0	0	
1210	2	1	4	~	~	~	~	~	~	~	~	~	~	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1105	2	2	5	19122	~	~	~	242	~	~	~	~	~	1	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1605	2	5	16	19121	~	~	~	316	~	~	~	~	~	4	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1412	2	3	1	22102	~	~	~	348	~	~	~	~	~	3	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1426	2	2	1	8746	~	~	~	204	~	~	~	~	~	2	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1442	2	4	7	21063	~	~	~	344	~	~	~	~	~	5	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1265	2	4	2	22101	~	~	~	253	~	~	~	~	~	4	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1605	2	4	7	18248	~	~	~	233	~	~	~	~	~	3	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2802	2	1	5	9108	~	~	~	123	~	~	~	~	~	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1337	2	2	1	22111	~	~	~	143	~	~	~	~	~	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1445	2	3	7	21063	~	~	~	344	~	~	~	~	~	3	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1637	2	2	5	17014	~	~	~	314	~	~	~	~	~	1	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1615	2	3	5	20058	~	~	~	223	~	~	~	~	~	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1685	2	3	2	9458	~	~	~	322	~	~	~	~	~	2	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1207	2	3	3	22099	~	~	~	130	~	~	~	~	~	2	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1650	2	3	4	8890	~	~	~	231	~	~	~	~	~	2	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1265	2	5	2	22101	~	~	~	253	~	~	~	~	~	5	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1057	2	2	4	5819	~	~	~	299	299	~	~	~	~	1	10	2	4	14	1	0	0	0	0	0	0	0	0	0	0	0	0	
1056	2	2	4	16059	~	~	~	299	299	299	~	~	~	1	12	1	2	10	2	5	10	2	0	0	0	0	0	0	0	0	0	
1106	2	1	1	22097	~	~	~	242	242	242	242	~	~	1	3	1	2	1	1	4	4	2	5	4	2	0	0	0	0	0	0	
1246	2	1	1	~	~	~	~	~	~	~	~	~	~	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1784	2	6	4	6805	~	~	~	150	~	~	~	~	~	5	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1215	2	5	16	22099	~	~	~	121	~	~	~	~	~	5	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1926	2	2	9	6933	~	~	~	202	~	~	~	~	~	2	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5512	2	1	1	2811	~	~	~	~	~	~	~	~	~	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1207	2	1	7	18096	~	~	~	~	~	~	~	~	~	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
