62866	2	1012	2	6	6	6	6	8	
62866	2	1031	1	2	4	1	-1	-1	
62866	2	1135	3	12	12	13	13	-1	
62866	2	1207	7	23	22	23	22	-1	
62866	2	1315	1	2	1	1	2	1	
62866	2	1605	4	14	14	14	14	13	
62866	2	1805	2	9	5	1	-1	-1	
62866	2	1925	2	6	7	6	1	-1	
62866	2	2818	-1	-1	-1	-1	-1	-1	
62866	2	2977	-1	-1	-1	-1	-1	-1	
60566	2	1126	1	1	-1	-1	-1	-1	
60566	2	1282	1	1	2	-1	-1	-1	
60566	2	1433	1	1	2	2	1	-1	
60566	2	1649	4	8	8	9	9	1	
60566	2	1867	1	2	3	2	-1	-1	
60566	2	1937	1	3	3	3	1	-1	
60566	2	2818	2	-1	-1	-1	-1	-1	
63549	2	1105	1	5	3	4	1	-1	
63549	2	1215	6	17	17	17	17	-1	
63549	2	1805	5	16	14	1	-1	-1	
63549	2	1615	4	11	12	11	12	12	
63549	2	1915	1	5	2	-1	-1	-1	
63549	2	1317	1	2	3	3	1	1	
63549	2	2810	3	-1	-1	-1	-1	-1	
63549	2	1765	-1	-1	-1	-1	-1	-1	
48192	2	1012	1	2	5	2	5	2	
48192	2	1207	7	22	23	22	23	-1	
48192	2	1337	1	2	1	2	1	3	
48192	2	1503	1	4	1	1	4	4	
48192	2	1605	1	3	2	5	2	4	
48192	2	1765	1	5	4	1	2	-1	
48192	2	1805	3	13	10	1	-1	-1	
48192	2	1906	4	10	1	-1	-1	-1	
48192	2	2803	5	-1	-1	-1	-1	-1	
51559	2	1013	1	1	1	3	1	1	
51559	2	1219	2	5	5	7	1	-1	
51559	2	1358	3	8	9	9	9	8	
51559	2	1629	2	5	5	5	5	1	
51559	2	1783	3	8	8	8	7	8	
51559	2	1860	1	3	1	1	1	-1	
51559	2	1959	1	1	2	2	1	-1	
51559	2	2810	4	-1	-1	-1	-1	-1	
51723	2	1013	1	3	3	2	3	3	
51723	2	1088	1	1	3	-1	-1	-1	
51723	2	1219	1	3	3	4	1	-1	
51723	2	1357	1	2	4	4	4	3	
51723	2	1615	4	11	10	11	10	10	
51723	2	1785	1	2	1	3	1	2	
51723	2	1835	2	4	4	4	1	-1	
51723	2	1915	2	7	2	-1	-1	-1	
51723	2	2810	5	-1	-1	-1	-1	-1	
62170	2	1135	1	2	6	2	5	-1	
62170	2	1209	1	4	4	2	1	-1	
62170	2	1357	2	5	6	5	5	6	
62170	2	1412	3	6	6	1	-1	-1	
62170	2	1523	1	1	1	2	-1	-1	
62170	2	1605	2	6	8	6	7	8	
62170	2	1765	1	5	2	1	1	-1	
62170	2	1805	1	3	3	2	-1	-1	
62170	2	1936	1	3	1	-1	-1	-1	
62170	2	2808	5	-1	-1	-1	-1	-1	
70020	2	1125	2	7	7	6	1	-1	
70020	2	1261	2	4	5	1	-1	-1	
70020	2	1318	1	2	3	3	1	2	
70020	2	1629	2	5	4	4	4	1	
70020	2	1860	1	4	4	2	2	-1	
70020	2	1920	1	3	1	-1	-1	-1	
70020	2	1940	1	1	1	1	1	-1	
70020	2	2811	4	-1	-1	-1	-1	-1	
57320	2	1282	1	1	2	-1	-1	-1	
57320	2	1318	1	1	3	2	2	3	
57320	2	1433	1	1	1	1	1	-1	
57320	2	1649	4	8	9	9	8	1	
57320	2	1867	1	2	3	2	-1	-1	
57320	2	1937	1	2	2	2	1	-1	
57320	2	2818	2	-1	-1	-1	-1	-1	
61776	2	1012	1	1	4	5	1	4	
61776	2	1207	2	5	7	8	8	-1	
61776	2	1315	1	2	1	1	2	1	
61776	2	1605	2	7	8	7	7	6	
61776	2	1625	3	-1	-1	-1	-1	-1	
61776	2	1765	2	11	9	1	2	-1	
61776	2	1843	1	2	-1	-1	-1	-1	
61776	2	1906	3	9	1	-1	-1	-1	
61776	2	2807	2	-1	-1	-1	-1	-1	
57438	2	1105	2	7	9	10	1	-1	
57438	2	1225	4	10	12	11	11	-1	
57438	2	1637	6	13	13	13	14	13	
57438	2	1845	1	6	3	2	1	2	
57438	2	1926	1	4	4	3	1	-1	
