2801	48088	1051	101
2801	48088	1201	102
2801	48088	1231	101
2801	48088	1442	101
2801	48088	1605	101
2801	48088	1765	101
2801	48088	1805	108
2801	48088	1906	101
2801	48088	2807	104
2801	51385	1281	102
2801	51385	1422	101
2801	51385	1427	101
2801	51385	1433	101
2801	51385	1635	102
2801	51385	1867	101
2801	51385	1785	101
2801	51385	1937	103
2801	51385	1938	101
2801	51385	2818	103
2801	44396	1126	104
2801	44396	1256	101
2801	44396	1282	101
2801	44396	1540	102
2801	44396	1660	101
2801	44396	1867	103
2801	44396	1947	104
2801	44396	2818	104
2801	35318	1012	103
2801	35318	1088	102
2801	35318	1209	108
2801	35318	1337	101
2801	35318	1609	101
2801	35318	1765	101
2801	35318	1809	104
2801	35318	1907	103
2801	35318	2807	104
2801	48298	1088	102
2801	48298	1209	106
2801	48298	1245	101
2801	48298	1355	103
2801	48298	1609	102
2801	48298	1765	102
2801	48298	1809	101
2801	48298	1906	103
2801	48298	2802	104
2801	57031	1239	108
2801	57031	1394	101
2801	57031	1650	101
2801	57031	1690	101
2801	57031	1869	104
2801	57031	1940	101
2801	57031	1947	101
2801	57031	2818	104
2801	57437	1012	103
2801	57437	1215	110
2801	57437	1393	101
2801	57437	1615	101
2801	57437	1676	101
2801	57437	1771	101
2801	57437	1805	110
2801	57437	1915	102
2801	57437	2810	103
2801	57392	1051	101
2801	57392	1077	101
2801	57392	1207	111
2801	57392	1355	103
2801	57392	1605	101
2801	57392	1765	101
2801	57392	1805	113
2801	57392	1906	111
2801	57392	2801	101
2801	44398	1239	104
2801	44398	1540	102
2801	44398	1649	103
2801	44398	1867	101
2801	44398	1947	101
2801	44398	2818	101
2801	44626	1125	104
2801	44626	1253	101
2801	44626	1261	104
2801	44626	1359	101
2801	44626	1650	101
2801	44626	1869	104
2801	44626	1920	102
2801	57546	1012	101
2801	57546	1235	101
2801	57546	1535	101
2801	57546	1584	101
2801	57546	1635	102
2801	57546	1834	103
2801	57546	1925	102
2801	57546	1947	103
2801	57546	2818	105
2801	58085	1351	101
2801	58085	1396	101
2801	58085	1604	101
2801	58085	1782	101
2801	58085	1843	103
2801	58085	2802	102
2801	44337	1792	101
2801	44337	1012	101
2801	44337	1412	101
2801	708388	1125	101
2801	708388	1225	102
2801	708388	1637	102
2801	708388	1722	101
2801	708388	1755	101
2801	708388	1829	101
2801	708388	1849	101
2801	708388	1926	102
2801	45625	1207	112
2801	45625	1357	102
2801	45625	1412	101
2801	45625	1503	102
2801	45625	1605	103
2801	45625	1765	102
2801	45625	1805	106
2801	45625	1906	108
2801	45625	2801	101
2801	54451	1051	101
2801	54451	1209	104
2801	54451	1357	102
2801	54451	1435	102
2801	54451	1605	102
2801	54451	1765	101
2801	54451	1809	106
2801	54451	1906	110
2801	54451	2804	101
2801	45257	1088	101
2801	45257	1259	101
2801	45257	1261	102
2801	45257	1359	102
2801	45257	1670	101
2801	45257	1787	101
