10013	1211
10013	1213
10013	1254
10013	1315
10013	1444
10013	1611
10013	1773
10013	1805
10013	1915
10031	1125
10031	1220
10031	1278
10031	1359
10031	1395
10031	1650
10031	1849
10031	1920
10031	2811
10032	1013
10032	1219
10032	1358
10032	1504
10032	1629
10032	1782
10032	1835
10032	1919
10033	1126
10033	1159
10033	1249
10033	1256
10033	1299
10033	1660
10033	1939
10033	2017
10049	1159
10049	1225
10049	1435
10049	1637
10049	1782
10049	1849
10049	1925
10049	2811
10056	1211
10056	1213
10056	1413
10056	1604
10056	1782
10056	1805
10056	1915
10056	2917
10058	1116
10058	1126
10058	1239
10058	1660
10058	1940
10058	1948
10058	2017
10060	1012
10060	1035
10060	1077
10060	1078
10060	1225
10060	1358
10060	1649
10060	1849
10060	1920
10060	2811
10069	1025
10069	1212
10069	1223
10069	1535
10069	1611
10069	1907
10069	1925
10069	2811
10069	2923
10071	1061
10071	1088
10071	1215
10071	1317
10071	1615
10071	1783
10071	1829
10071	1915
10076	1017
10076	1125
10076	1160
10076	1220
10076	1369
10076	1650
10076	1849
10076	1940
10076	2811
10096	1061
10096	1215
10096	1318
10096	1506
10096	1582
10096	1615
10096	1773
10096	1834
10096	1915
10101	1061
10101	1211
10101	1215
10101	1245
10101	1357
10101	1615
10101	1783
10101	1805
10101	1915
10105	1077
10105	1079
10105	1239
10105	1247
10105	1680
10105	1787
10105	1869
10105	1948
10105	2017
10117	1105
10117	1211
10117	1213
10117	1355
10117	1504
10117	1611
10117	1783
10117	1843
10117	1915
10120	1077
10120	1240
10120	1245
10120	1350
10120	1680
10120	1890
10120	1940
10120	2017
10121	1032
10121	1225
10121	1315
10121	1615
10121	1782
10121	1805
10121	1925
10121	2811
10123	1215
10123	1338
10123	1516
10123	1524
10123	1615
10123	1783
10123	1845
10123	1915
10126	1031
10126	1135
10126	1225
10126	1357
10126	1412
10126	1611
10126	1835
10126	1925
10126	2811
10138	1035
10138	1125
10138	1225
10138	1615
10138	1766
10138	1835
10138	1925
10138	2811
10182	1012
10182	1215
10182	1357
10182	1442
10182	1611
10182	1783
10182	1829
10182	1915
10184	1220
10184	1358
10184	1427
10184	1637
10184	1849
10184	1925
10184	1940
10184	2811
10204	1249
10204	1350
10204	1680
10204	1835
10204	1869
10204	1940
10204	2017
10204	2919
10219	1211
10219	1213
10219	1355
10219	1414
10219	1615
10219	1783
10219	1805
10219	1915
10220	1013
10220	1235
10220	1602
10220	1907
10220	2017
10220	2844
10220	2913
10220	2931
10220	2945
10220	2946
10232	1240
10232	1285
10232	1367
10232	1680
10232	1869
10232	1939
10232	1948
10232	2017
10233	1025
10233	1061
10233	1219
10233	1358
10233	1435
10233	1637
10233	1784
10233	1849
10233	1919
10234	1012
10234	1061
10234	1105
10234	1219
10234	1357
10234	1615
10234	1784
10234	1834
10234	1919
10262	1055
10262	1056
10262	1077
10262	1220
10262	1247
10262	1359
10262	1649
10262	1849
10262	1920
10262	2811
10380	1239
10380	1259
10380	1660
10380	1669
10380	1869
10380	1938
10380	2017
10386	1055
10386	1380
10386	2017
10386	4441
10398	1135
10398	1201
10398	1207
10398	1765
10398	1843
10398	2807
10398	2844
10398	2916
10398	2931
10398	2946
10469	1025
10469	1215
10469	1357
10469	1435
10469	1615
10469	1785
10469	1843
10469	1915
10474	1055
10474	1220
10474	1239
10474	1357
10474	1369
10474	1649
10474	1869
10474	2017
10505	1031
10505	1105
10505	1135
10505	1201
10505	1207
10505	1605
10505	1765
10505	1805
10505	2804
10526	1031
10526	1249
10526	1359
10526	1648
10526	1867
10526	1937
10526	2017
10532	1033
10532	1225
10532	1412
10532	1524
10532	1637
10532	1833
10532	1849
10532	1925
10532	2811
10565	1215
10565	1247
10565	1357
10565	1629
10565	1784
10565	1829
10565	1845
10565	1919
10577	1239
10577	1582
10577	1669
10577	1860
10577	1869
10577	1940
10577	2017
10580	1061
10580	1077
10580	1078
10580	1219
10580	1358
10580	1629
10580	1919
10659	1105
10659	1135
10659	1207
10659	1357
10659	1629
10659	1783
10659	1809
10659	1906
10659	1909
10659	2807
10661	1055
10661	1240
10661	1350
10661	1680
10661	1820
10661	1940
10661	1948
10661	2002
10661	2017
10729	1135
10729	1207
10729	1367
10729	1435
10729	1523
10729	1605
10729	1765
10729	1805
10729	2808
10749	1012
10749	1031
10749	1135
10749	1207
10749	1412
10749	1604
10749	1765
10749	1843
10749	2803
10750	1012
10750	1031
10750	1135
10750	1207
10750	1355
10750	1605
10750	1765
10750	1843
10750	2805
10754	1031
10754	1135
10754	1207
10754	1355
10754	1435
10754	1605
10754	1765
10754	1805
10754	2802
10755	1135
10755	1207
10755	1357
10755	1412
10755	1609
10755	1765
10755	1809
10755	1907
10755	2807
10770	1031
10770	1135
10770	1207
10770	1355
10770	1442
10770	1605
10770	1765
10770	1843
10770	2801
10774	1012
10774	1135
10774	1207
10774	1367
10774	1605
10774	1765
10774	1805
10774	1906
10774	2804
10777	1012
10777	1135
10777	1207
10777	1355
10777	1609
10777	1783
10777	1809
10777	1906
10777	2803
10779	1239
10779	1358
10779	1414
10779	1602
10779	1648
10779	1867
10779	1938
10779	2017
10780	1135
10780	1201
10780	1207
10780	1506
10780	1605
10780	1783
10780	1843
10780	1906
10780	1931
10780	2806
10819	1012
10819	1135
10819	1207
10819	1367
10819	1506
10819	1609
10819	1765
10819	1809
10819	2805
10820	1077
10820	1079
10820	1219
10820	1357
10820	1629
10820	1782
10820	1834
10820	1919
10821	1031
10821	1135
10821	1207
10821	1355
10821	1605
10821	1765
10821	1809
10821	1906
10821	2806
10822	1031
10822	1135
10822	1201
10822	1207
10822	1605
10822	1782
10822	1805
10822	1906
10822	2808
10859	1075
10859	1135
