10422	1207
10422	1245
10422	1287
10422	1357
10422	1605
10422	1765
10422	1805
10422	1936
10422	2801
11240	1030
11240	1031
11240	1445
11240	1660
11240	1867
11240	1947
11240	2818
11240	5221
12155	1055
12155	1281
12155	1524
12155	1867
12155	1947
12155	2818
12155	2900
13361	1055
13361	1059
13361	1282
13361	1649
13361	1867
13361	1947
13361	2818
13496	1125
13496	1261
13496	1359
13496	1637
13496	1849
13496	1920
13496	2811
14057	1282
14057	1360
14057	1524
14057	1649
14057	1685
14057	1867
14057	1947
14057	2818
14500	1125
14500	1261
14500	1359
14500	1669
14500	1792
14500	1869
14500	1920
14500	2811
14503	1031
14503	1215
14503	1412
14503	1582
14503	1615
14503	1783
14503	1805
14503	1915
14503	2810
14503	2975
14504	1259
14504	1261
14504	1338
14504	1629
14504	1792
14504	1849
14504	1920
14504	2811
14505	1105
14505	1225
14505	1504
14505	1615
14505	1626
14505	1835
14505	1926
14505	2811
14505	2920
14505	5291
14506	1225
14506	1339
14506	1523
14506	1637
14506	1744
14506	1849
14506	1926
14506	1931
14506	2811
14507	1215
14507	1225
14507	1637
14507	1792
14507	1834
14507	1925
14507	2811
14508	1225
14508	1515
14508	1637
14508	1744
14508	1849
14508	1926
14508	2811
14509	1055
14509	1059
14509	1225
14509	1252
14509	1637
14509	1772
14509	1860
14509	1920
14509	2811
14510	1199
14510	1261
14510	1359
14510	1650
14510	1744
14510	1869
14510	1920
14510	2811
14514	1125
14514	1261
14514	1359
14514	1637
14514	1849
14514	1925
14514	1940
14514	2811
14516	1125
14516	1225
14516	1535
14516	1637
14516	1766
14516	1834
14516	1926
14516	2811
14516	2920
14516	5291
14517	1059
14517	1065
14517	1090
14517	1225
14517	1650
14517	1784
14517	1890
14517	1925
14518	1031
14518	1055
14518	1261
14518	1339
14518	1650
14518	1860
14518	1926
14518	2811
14519	1056
14519	1066
14519	1261
14519	1359
14519	1442
14519	1637
14519	1849
14519	1920
14519	2811
14522	1125
14522	1225
14522	1427
14522	1637
14522	1734
14522	1849
14522	1925
14522	2836
14524	1055
14524	1056
14524	1225
14524	1369
14524	1637
14524	1771
14524	1849
14524	1920
14524	1938
14524	2811
14528	1199
14528	1225
14528	1317
14528	1637
14528	1792
14528	1849
14528	1926
14528	2811
14528	5291
14530	1125
14530	1225
14530	1649
14530	1685
14530	1849
14530	1926
14530	2811
14533	1225
14533	1515
14533	1524
14533	1649
14533	1849
14533	1925
14533	2811
14533	2920
14534	1125
14534	1225
14534	1358
14534	1427
14534	1637
14534	1735
14534	1849
14534	1925
14534	2811
14536	1017
14536	1261
14536	1319
14536	1649
14536	1734
14536	1869
14536	1920
14536	2811
14542	1125
14542	1225
14542	1339
14542	1515
14542	1649
14542	1849
14542	1926
14542	1938
14542	2811
14544	1017
14544	1225
14544	1359
14544	1414
14544	1503
14544	1637
14544	1849
14544	1925
14544	2811
14549	1017
14549	1225
14549	1358
14549	1649
14549	1785
14549	1849
14549	1925
14549	2811
14550	1261
14550	1369
14550	1669
14550	1869
14550	1926
14550	2811
14550	2836
14552	1017
14552	1045
14552	1261
14552	1637
14552	1849
14552	1926
14552	2811
14555	1105
14555	1225
14555	1504
14555	1515
14555	1535
14555	1637
14555	1845
14555	1926
14555	2811
14557	1044
14557	1077
14557	1225
14557	1359
14557	1649
14557	1849
14557	1925
14557	2811
14558	1058
14558	1077
14558	1079
14558	1090
14558	1261
14558	1358
14558	1637
14558	1860
14558	1926
14558	2811
14561	1056
14561	1065
14561	1088
14561	1089
14561	1090
14561	1225
14561	1339
14561	1637
14561	1849
