10095	1125
10095	1226
10095	1443
10095	1638
10095	1744
10095	1859
10095	1925
10095	1934
10471	1226
10471	1508
10471	1636
10471	1792
10471	1859
10471	1926
10589	1059
10589	1065
10589	1076
10589	1282
10589	1659
10589	1947
10589	2818
10839	1226
10839	1583
10839	1636
10839	1792
10839	1859
10839	1925
10839	1931
11240	1012
11240	1135
11240	1208
11240	1246
11240	1442
11240	1606
11240	1772
11240	1806
11274	1126
11274	1281
11274	1659
11274	1868
11274	1937
11274	1940
11274	2818
11386	1126
11386	1281
11386	1680
11386	1879
11386	1949
11386	2818
11386	2836
11392	1126
11392	1199
11392	1282
11392	1659
11392	1868
11392	1947
11392	2818
11485	1126
11485	1239
11485	1669
11485	1868
11485	1937
11485	2818
11485	2836
11521	1059
11521	1065
11521	1282
11521	1649
11521	1947
11521	2818
11567	1044
11567	1075
11567	1078
11567	1282
11567	1624
11567	1938
11567	2818
11568	1126
11568	1239
11568	1253
11568	1259
11568	1270
11568	1648
11568	1868
11568	2818
11575	1116
11575	1118
11575	1281
11575	1624
11575	1868
11575	2818
11594	1105
11594	1106
11594	1216
11594	1338
11594	1616
11594	1743
11594	1845
11594	2810
11607	1126
11607	1239
11607	1649
11607	1868
11607	1934
11607	2818
11614	1055
11614	1118
11614	1126
11614	1281
11614	1648
11614	1868
11614	1949
11614	2818
11616	1058
11616	1077
11616	1079
11616	1236
11616	1676
11616	1936
11616	1947
11616	2818
11616	2920
11624	1116
11624	1126
11624	1159
11624	1239
11624	1680
11624	1879
11624	1949
11624	2818
11627	1059
11627	1065
11627	1281
11627	1320
11627	1669
11627	1820
11627	2818
11641	1058
11641	1076
11641	1078
11641	1239
11641	1669
11641	1820
11641	2818
11643	1116
11643	1282
11643	1293
11643	1659
11643	1868
11643	1947
11643	2818
11644	1282
11644	1293
11644	1659
11644	1767
11644	1799
11644	1820
11644	2818
11679	1239
11679	1509
11679	1648
11679	1868
11679	1931
11679	1934
11679	2818
11689	1159
11689	1239
11689	1659
11689	1868
11689	1947
11689	2818
11692	1282
11692	1358
11692	1648
11692	2818
11692	2836
11692	5512
11695	1088
11695	1259
11695	1261
11695	1369
11695	1670
11695	1865
11695	1890
11695	1940
11696	1126
11696	1239
11696	1649
11696	1868
11696	1937
11696	2818
11696	2836
11739	1165
11739	1229
11739	1358
11739	1650
11739	1784
11739	1860
11739	1929
11739	2810
11798	1125
11798	1261
11798	1359
11798	1638
11798	1859
11798	1925
11798	1940
11909	1052
11909	1057
11909	1210
11909	1295
11909	1357
11909	1619
11909	1783
11909	1819
11909	1907
12124	1226
12124	1413
12124	1516
12124	1636
12124	1744
12124	1834
12124	1926
12124	2920
12155	1076
12155	1208
12155	1337
12155	1513
12155	1606
12155	1765
12155	1806
12155	1906
12155	2906
12242	1282
12242	1648
12242	1792
12242	1834
12242	1925
12242	1937
12242	2818
12327	1126
12327	1239
12327	1659
12327	1879
12327	1947
12327	2818
12390	1126
12390	1259
12390	1260
12390	1680
12390	1940
12390	1949
12390	2818
12393	1126
12393	1253
12393	1260
12393	1270
12393	1581
12393	1879
12393	1949
12393	2818
12399	1030
12399	1239
12399	1253
12399	1340
12399	1648
12399	1939
12399	2818
12404	1226
12404	1413
12404	1638
12404	1787
12404	1859
12404	1926
12466	1058
12466	1059
12466	1075
12466	1079
12466	1260
12466	1659
12466	1787
12466	1868
12466	1947
12466	2818
12581	1013
12581	1226
12581	1238
12581	1338
12581	1636
12581	1792
12581	1835
12581	1926
12581	2920
12941	1125
12941	1261
12941	1359
12941	1649
12941	1879
12941	1930
12941	1940
12953	1226
12953	1614
12953	1636
