10392	1051
10392	1135
10392	1208
10392	1355
10392	1619
10392	1783
10392	1819
10392	1906
10405	1230
10405	1358
10405	1413
10405	1638
10405	1859
10405	1926
10412	1057
10412	1061
10412	1229
10412	1338
10412	1649
10412	1784
10412	1845
10412	1929
10412	2810
10419	1216
10419	1358
10419	1412
10419	1516
10419	1616
10419	1784
10419	1834
10419	1916
10419	2810
10430	1013
10430	1792
10430	1806
10430	2810
10430	2906
10430	2920
10430	2945
10430	2946
10430	2947
10430	2948
10430	2950
10431	1076
10431	1078
10431	1216
10431	1358
10431	1638
10431	1676
10431	1783
10431	1845
10431	1929
10431	2810
10432	1118
10432	1226
10432	1516
10432	1583
10432	1638
10432	1859
10432	1907
10432	1926
10433	1077
10433	1216
10433	1338
10433	1639
10433	1845
10433	1879
10433	1929
10433	2810
10446	1055
10446	1239
10446	1293
10446	1649
10446	1879
10446	1939
10446	2018
10447	1236
10447	1508
10447	1516
10447	1549
10447	1624
10447	1937
10447	2017
10447	2920
10451	1226
10451	1355
10451	1523
10451	1636
10451	1845
10451	1926
10451	2906
10451	2920
10453	1012
10453	1208
10453	1355
10453	1435
10453	1606
10453	1782
10453	1806
10453	1906
10592	1035
10592	1125
10592	1238
10592	1249
10592	1357
10592	1648
10592	1868
10592	2017
10597	1105
10597	1216
10597	1522
10597	1614
10597	1806
10597	2810
10597	2912
10597	2920
10597	2981
10599	1061
10599	1229
10599	1358
10599	1367
10599	1650
10599	1785
10599	1860
10599	1959
10599	2810
10601	1032
10601	1055
10601	1226
10601	1358
10601	1636
10601	1785
10601	1859
10601	1926
10605	1136
10605	1216
10605	1226
10605	1295
10605	1636
10605	1792
10605	1835
10605	1926
10605	2920
10606	1077
10606	1226
10606	1318
10606	1355
10606	1638
10606	1859
10606	1926
10607	1061
10607	1229
10607	1358
10607	1650
10607	1785
10607	1860
10607	1929
10607	2810
10610	1226
10610	1355
10610	1444
10610	1636
10610	1839
10610	1926
10610	1931
10610	1938
10635	1017
10635	1226
10635	1636
10635	1845
10635	1926
10635	2904
10635	2920
10651	1087
10651	1135
10651	1208
10651	1367
10651	1523
10651	1606
10651	1765
10651	1806
11254	1136
11254	1201
11254	1203
11254	1516
11254	1619
11254	1783
11254	1806
11254	1906
11254	2906
11254	2920
11254	2951
11255	1136
11255	1208
11255	1317
11255	1505
11255	1619
11255	1765
11255	1806
11255	1906
11273	1106
11273	1229
11273	1318
