StudentID	Student_Number	CourseNumber	YearID
136679	65332	2912W	3500
60769	49568	2912W	3500
60770	49569	1845A	3500
60770	49569	1422A	3500
84924	57176	2801	3500
84924	57176	2912F	3500
70597	53418	1116A	3500
70597	53418	2912Th	3500
70597	53418	2912	3500
33056	703435	2912Tu	3500
60919	49690	2818L	3500
91775	57971	2818L	3500
125375	63669	1522	3500
125375	63669	1784A	3500
125375	63669	2912F	3500
125375	63669	2912W	3500
125375	63669	2912	3500
71680	54314	2810LC	3500
71680	54314	2912Tu	3500
71680	54314	2912Th	3500
74774	55851	2912	3500
74774	55851	2912Th	3500
121830	13671	2810TD	3500
121830	13671	2912	3500
121830	13671	2912Th	3500
37553	707932	2912Th	3500
37553	707932	2912F	3500
75087	56333	2810L	3500
75087	56333	2912F	3500
75087	56333	2912	3500
75087	56333	1105A	3500
74961	56173	1077	3500
74961	56173	1834A	3500
35430	705809	2912W	3500
35430	705809	2912Th	3500
74998	56210	1013A	3500
74998	56210	2912Tu	3500
36034	706413	2912Th	3500
72494	54504	2912	3500
72494	54504	2912F	3500
72494	54504	2912W	3500
72494	54504	2912Th	3500
136141	65143	2811C	3500
69923	52492	2912W	3500
69923	52492	2938A	3500
69923	52492	2912F	3500
73334	55059	2912W	3500
73334	55059	2912Th	3500
73334	55059	2912Tu	3500
111883	61263	2811L	3500
111883	61263	1839	3500
111883	61263	2912Tu	3500
111883	61263	2912F	3500
80366	56825	2912Th	3500
80366	56825	1135A	3500
116581	62177	2811C	3500
116581	62177	1940A	3500
116581	62177	1125A	3500
116581	62177	2912Th	3500
129730	64057	1012A	3500
129730	64057	1783A	3500
129730	64057	2912	3500
60922	49693	2912Th	3500
60922	49693	1785A	3500
60922	49693	2912W	3500
64830	51139	2811D	3500
64830	51139	2912	3500
111894	61275	2912W	3500
111894	61275	2912Th	3500
73033	54585	2912W	3500
73033	54585	2912Th	3500
30618	700997	1293A	3500
73527	55171	2811D	3500
118773	62986	2912F	3500
118773	62986	2912Th	3500
118773	62986	2912W	3500
112012	61413	2912W	3500
112012	61413	2912Tu	3500
112012	61413	2912F	3500
135872	65082	1845A	3500
135872	65082	2912F	3500
135872	65082	2912W	3500
135872	65082	2912Th	3500
69975	52502	2818C	3500
69975	52502	1937A	3500
55092	47223	2912F	3500
55092	47223	2912Th	3500
55092	47223	2912Tu	3500
70299	53122	2912W	3500
70299	53122	2912	3500
70676	53497	2912Tu	3500
70290	53113	2912W	3500
111758	61178	2912F	3500
111758	61178	2912Tu	3500
70664	53485	1238A	3500
70664	53485	2912Tu	3500
80262	61011	2912	3500
80262	61011	1135A	3500
80262	61011	2912F	3500
80262	61011	2912Th	3500
84732	57131	1135A	3500
112437	61618	1135A	3500
80337	61086	1783A	3500
70643	53464	2912F	3500
70643	53464	2912Th	3500
112075	61481	2912F	3500
85080	57221	2912	3500
85080	57221	2912F	3500
85127	57237	1845A	3500
102929	59129	1025A	3500
102929	59129	2912F	3500
102929	59129	2912W	3500
106887	59816	2912Th	3500
106887	59816	2912	3500
85264	57317	2912F	3500
122111	11661	2810S	3500
122111	11661	2912Tu	3500
117590	62868	2912Th	3500
102076	58915	2912Th	3500
128725	63876	1837	3500
128725	63876	2912Tu	3500
73043	54595	2811S	3500
73043	54595	2912F	3500
73043	54595	2912Tu	3500
73043	54595	1125A	3500
73347	55072	2912Tu	3500
112632	61661	2912Th	3500
112632	61661	2912	3500
112632	61661	2912F	3500
111750	61170	2912Th	3500
111750	61170	2912F	3500
111750	61170	2912	3500
85483	57356	2912W	3500
85483	57356	2912Th	3500
84889	57170	1012A	3500
84889	57170	1685A	3500
84889	57170	2912	3500
67732	51897	2802	3500
74420	55702	2912F	3500
74420	55702	2912W	3500
74420	55702	2912Th	3500
74420	55702	2912Tu	3500
64831	51140	1245	3500
64831	51140	2912W	3500
64831	51140	2912Tu	3500
129751	64081	2803	3500
129751	64081	1783A	3500
69331	52326	2803	3500
69982	52509	2912Th	3500
69982	52509	2912	3500
79975	60001	2912W	3500
79975	60001	2912Tu	3500
79975	60001	1906A	3500
85244	57297	1052A	3500
85244	57297	2912Th	3500
85244	57297	2912Tu	3500
129749	64079	2802	3500
129749	64079	2912W	3500
129749	64079	2912Th	3500
120426	63081	2912Tu	3500
70369	53192	2912Tu	3500
73556	55200	2912W	3500
73556	55200	2912Th	3500
73556	55200	2912Tu	3500
71604	54246	1765A	3500
71604	54246	2912W	3500
64191	50918	1425	3500
85206	57271	2912F	3500
85206	57271	2912	3500
136541	65286	2912	3500
64122	50876	2912	3500
85178	57243	2912W	3500
85178	57243	1906A	3500
124124	63606	1765A	3500
124124	63606	1031A	3500
124124	63606	2912Tu	3500
124124	63606	1135A	3500
79423	56672	2912Th	3500
79423	56672	2912Tu	3500
70208	53072	2912W	3500
70393	53216	2912Th	3500
70550	53371	2912	3500
101323	58843	2912	3500
80532	62066	2802	3500
80532	62066	2912W	3500
80532	62066	2912Tu	3500
111746	61166	2912	3500
62284	50477	2912F	3500
111914	61299	1434	3500
111914	61299	2912Tu	3500
122103	55540	2912Tu	3500
55101	47232	1199A	3500
55101	47232	2912F	3500
84681	57095	1434	3500
107984	60501	1116A	3500
107984	60501	2912W	3500
70581	53402	1079A	3500
70581	53402	2912Tu	3500
70553	53374	2912Tu	3500
70553	53374	2912	3500
85734	57414	2912Th	3500
85734	57414	2912Tu	3500
96789	58567	1925	3500
96789	58567	2912Th	3500
134537	64888	2912Th	3500
134537	64888	2912Tu	3500
134537	64888	2912F	3500
74983	56195	1061A	3500
74983	56195	2912Tu	3500
74983	56195	2912F	3500
75723	56482	2912W	3500
75723	56482	2912F	3500
75515	59967	2912F	3500
75515	59967	2912Th	3500
102575	59023	1765A	3500
102575	59023	2808	3500
102575	59023	2912W	3500
32214	702593	2912Tu	3500
95427	58260	2912Th	3500
95427	58260	2912Tu	3500
95427	58260	2912F	3500
87323	57530	1765A	3500
87323	57530	2912Th	3500
72477	54487	1765A	3500
72477	54487	1135A	3500
72477	54487	2912W	3500
72493	54503	2912F	3500
72493	54503	2912	3500
129074	63907	2912F	3500
129074	63907	2912W	3500
74353	55649	2912W	3500
74353	55649	2912Th	3500
98574	58716	1013A	3500
98574	58716	2912Tu	3500
98574	58716	1783A	3500
98574	58716	2912F	3500
73338	55063	2912Th	3500
73062	54614	2811C	3500
73062	54614	2912Tu	3500
73062	54614	2912W	3500
129861	64186	2912Tu	3500
72988	54363	1016	3500
72988	54363	2912Tu	3500
72988	54363	2912	3500
77677	56567	2811A	3500
77677	56567	2912	3500
74926	55972	2912Tu	3500
73105	54657	1581A	3500
73105	54657	1125A	3500
108049	60575	2912Th	3500
108049	60575	1783A	3500
85775	57421	2912	3500
85775	57421	2912W	3500
106882	59810	1765A	3500
106882	59810	1412A	3500
106882	59810	2912W	3500
106882	59810	2912Tu	3500
106882	59810	1135A	3500
85201	57266	2912	3500
85201	57266	1725A	3500
85201	57266	1135A	3500
85201	57266	2912W	3500
65423	51237	1265A	3500
65423	51237	2912F	3500
84882	57163	1931A	3500
84882	57163	2912F	3500
84882	57163	2912W	3500
84882	57163	2912Tu	3500
107235	59993	2912Tu	3500
107235	59993	1931A	3500
107235	59993	2912W	3500
96858	58690	2912F	3500
96858	58690	2912Tu	3500
137144	65645	2912Tu	3500
137144	65645	2912	3500
78978	56616	2818L	3500
78978	56616	2912F	3500
63914	50771	2811L	3500
63914	50771	2912	3500
74478	55760	1513A	3500
74478	55760	2912W	3500
74478	55760	2912	3500
129736	64064	1449	3500
105023	59590	1031A	3500
71541	54204	2912W	3500
84682	57096	1412A	3500
84682	57096	2912F	3500
84682	57096	2912W	3500
85202	57267	2912Th	3500
85202	57267	2912	3500
106901	59842	2912F	3500
106901	59842	1961A	3500
45693	42481	2912F	3500
112224	61534	2802	3500
112224	61534	1434	3500
112224	61534	2912F	3500
60793	49592	1549A	3500
60793	49592	2912F	3500
74790	55867	2810H	3500
74790	55867	1785A	3500
85474	57347	1435A	3500
85474	57347	2912Th	3500
75123	56369	1845A	3500
75123	56369	2912F	3500
75123	56369	2912W	3500
135292	64950	2912Th	3500
73479	55164	1783A	3500
73479	55164	2912Tu	3500
71182	53936	1834A	3500
95887	58337	2912	3500
116576	62172	2811H	3500
116576	62172	2912W	3500
61532	50320	1016	3500
61532	50320	2912	3500
61532	50320	2912W	3500
65726	51271	2912W	3500
65726	51271	2912Tu	3500
65725	51270	2912Th	3500
65725	51270	2912Tu	3500
65725	51270	2912	3500
60748	49547	1961A	3500
60748	49547	2912W	3500
70656	53477	1118A	3500
70656	53477	1055A	3500
70656	53477	2912F	3500
60924	49695	2912W	3500
60924	49695	2912Th	3500
60924	49695	2912	3500
70319	53142	2912	3500
17072	21451	2912Tu	3500
123333	63417	2818H	3500
123333	63417	1938A	3500
123333	63417	2912F	3500
126273	63714	2912F	3500
126273	63714	2912Th	3500
126273	63714	2912Tu	3500
126273	63714	2912W	3500
38641	709020	2912F	3500
70637	53458	2912F	3500
73128	54680	2912F	3500
73128	54680	2912Tu	3500
32857	703236	1246	3500
32857	703236	2912F	3500
128723	63874	1940A	3500
96826	58590	2912F	3500
96826	58590	2912Th	3500
96826	58590	2912	3500
96826	58590	1906A	3500
123736	63551	1412A	3500
123736	63551	1422A	3500
123736	63551	2912F	3500
85376	57338	2804	3500
85376	57338	1782A	3500
85376	57338	2912F	3500
85376	57338	2912W	3500
128337	63846	2912W	3500
73288	55012	1125A	3500
73288	55012	2912	3500
72023	54421	1077	3500
